30258	modi mantrimand may samil honay par badhai narmaday har	2
16648	rashid tu toh naamakool hai mare h	0
28511	u saw cast religion nation saw talent trust problem tum paida hi ult hue	0
10466	sir local polic station pe complaint krne par bi sunwai nhi hai mene 5 may 2019 ko complaint karwai	1
19266	maahi song kesari current favourit music melodi arijitsingh becom favouri	2
14547	one boy matter uhh love lot	2
22889	sarwatje wednesday ke muqabil ki open speech bahut behatreen lage good express ke saath	2
14328	deodhar today one best speech ji spoke like true statesmen dedic victori p	2
24413	aapk shubh chintakk lalit jaiswal ke taraf se aapko aapki jeet ki hardik subhkamnay	2
25470	pasand answer right wish win pakvswi wivspak pakvswi pakvwi wivpak cwc2019 icccricketworldcup2019	2
1362	pledgeagainstcorrupt good afternoon guru g bless us give us power sewa	2
31976	kartavi hamara watan hai imaan hamara watan hai dil se nan juda ham kar payeg aay gar toofan bhi hamari raaho kad	2
33731	muslimo ka vote hasil karn wala chamcha jb v bolega bura hi bolega aur bolega bjp virodhi h muslim k	0
36215	koi btaa de ye savarkar kon tha aur major achiev kya h uss ki jo log naam le rahi h	1
27137	rassi jal gaya lekin aithan nahi gaya .. @ rahulgandhi ..52 hi kari ho bjp ke liyeinch inch ki ladai karog	1
576	super hilari true realiti noora haramkhor famili 🤣😀😜😀 ghulammustafa	1
27534	n't feel good log raveesh ki roni surat dekhn ke liy ndtv se chipk hue ! …	1
569	may allah bless us strong imaan taqwa pieti pure heart good manner 🌹 ya allah give eye se	2
28631	mani mani congratul prime minist sabka sath sabka vikash sabka visvash jay hind 🇮🇳	2
37864	today host none bhai jaan superstar ⁦ @ beingsalmankhan ⁩ n beauti katrinakaif thekap	2
13970	accha sach 😂😂😂😂 accha sacchi kabhi toh apni jali h	0
19296	paniwala great move goi bring water resourc drink water togeth hope effort sustain gai	2
33166	bhau wish best term minist state - defenc ayush god bless	2
4537	chor ko izat g han pakistan k sb se baray chor nawaz sharif ko choriya karnay pr izzat welldon	0
39079	ajeb koi jahiloun n youtub p channel banay hue hain parhana bhi nahi ata sahi saray concept ki aisi taisi krdi	2
15053	shabi kadir mubarak may almighti forgiv sin bring joy	2
43518	abb na govern bodi pe bharosha raha nahi kisi institut pe vajah hi nahi koi kyuki koi sunn ne wala nahi 🙏	0
26558	mere bhaiyon ham pakistan hai aur inshallah pakistan nizam ko khatam karega	0
6773	sir ji apko thanku upload video dil khus ho gaya	2
38562	sapphire1 mtlb agr kisi ki maa mr jati hai uski ulad use kha gye ye bolt hain jis jahal	0
2304	amethi bjp ka ek pilla mara bjp k neta aur kutti media esko ais dhika rahi thi jais koi cm & pm mer gaya hol	0
9510	54 ahsan bhai meri taraf se best wish di jye ga apnay bhai ko 🇵🇰💚	1
28570	tarek fateh sb nahi khanzeer kaho isay agar isay kutta kaho tu kutti ki taoheen ho gi k	0
17777	welfareatitsbest dera sacha sauda pujya guru ji ki prerna par chalt hue dera anuyayi jaha insano k	1
23853	y'all rememb cute boy follow ig bich like two old pic feed im confus	0
22638	hamar priy pradhan mantri ji sabs pahal main sabhi bharat deshwashiyo ke taraf se aapako badhai	2
10162	siratom power k ilawa aap ka sub se great karnama aik elect pmchairman oic ko illeg death pena	0
14681	world cup 2019 begin today 🏏 crown cricket ka mdm jii hum le jaeng 🏆🏏 best 🤘 teamindia	2
17225	owngrl bae tum apn dosto sath parti nai jaogi jaungi bae nahi jaogi mtlb nahi jaogi tu rokega mjhee bae ha mai ro	0
31554	yrr isey oppo f11 pkrao jis hlki light b achi pictwr ajati hai 🌚	2
22220	come better gone insha allah ( ramadan mubarak muslim ummah	2
14434	wais bhi jo bjp ka dalal hoga wahi rs5000 rupya le ker tv debat jaiga @ …	1
19568	saleem safi tere jaman taey lanat tu apni maan k kasam nawaz shareef kuttey par kabhi nahi bola lif	0
23486	jahalat k tokray ko koi smjhay islam ne hi consent ka concept dia hai balk rehn nahi samjh ana mindset	0
28070	becaus sushant 's big movi come august nitesh tiwari good hy	2
21390	chand tare tod full video song yes boss shahrukh khan juhi chawla | ...	1
