3	pakistan ka ghra tauq pakistan israel ko tasleem nahein kerta isko palestin kehta - occupi palestin nan	0
41	madarchod mull ye mathura nahi dikha tha jab mullo ne hindu ko iss liy mara ki vo lass ki pais mag liy	0
48	manya pradhan mantri mahoday shriman narendra modi ji pradhanmantri bann par hardik badhai tahe dil	2
64	krishna jcb full trend chal rahi aa nan	2
66	loksabha janta sirf modi ko vote de rahi thi na ki kisi mp bjp ko without	2
68	bhosdik tum pechvad ki tatti hi rahog bc nan	0
90	love u bhaijan ... ♥♥ father + son bharat iambharat bharatthiseid best pic entir promot mashallah	2
99	tumhara pass abh deemagh hai nahi islea googl ko apna deemagh banaya hua hai har koi tumhari tarh	0
101	nolo weni anker gae weekend 😂😂😂😂😂 nan	2
104	aimim lage raho mullo tumhr issi quran faad gyan ki kayal hain duniya allah bhi khus	0
106	omer muhammadpti pakhtoon k haqooq ki jang nahi punjab k haqooq ki jung pak	0
146	ye sale desh ke kabhi sage nahin ho sakt ye gaddar hain ink sath kadi se kadi kanun	0
150	saf babi sorri onlin hope sleep well though love nan	2
157	real life k log chor diy hain mene alreadi jo snake thi ab internet k chorn hain 'm sad reason solmon nan	0
167	mohsin dawartweet daikho aur kuch kha ker mar jao bayghayrat insantum aur ali wazir harami ho pakistan	0
174	kuch media channel dikh rahe hai ki ink upar kai prakaar ke crimin case hai shame type media channel nan	0
175	abe mc nhi malum ammi mat chuda bsdk grahm stain ko dara singh ne mara tha adivasiy	0
182	well chara chor ke chele news year old nan	0
216	twitter k baghair apna roza mumkin nahi hota apna chutiyaap dusron per thopna band karo bhai	2
252	oh haha soldier read american god hardi har har thank remind everyon clusterfuck nan	0
266	mp govt kamalnath ki h wese ek video viral h jism aapk shantidut bhai ek dukandar	0
282	dev da tmr new movi song ami tmk valobasi realli love ❤😘 lot 😍😘☺❤💓 nan	1
287	abe bc kya le jayeng yeh toh batah abhi 😜 pakvwi babaji ka thullu 😂	2
301	hope see babi weekend high doubt 🥺 ugh nan	1
303	teri ka sakinaka tujh bhadi chinta ho rahi aaj ab 2014 se pehl bhadv log beth tab tu dudh	0
313	isko zammen chayiy bus dogma hai ye kabhi akhilesh ki tareef karta hai aur kabhi rahul pm dikh	1
331	jai shri ram jai shri krishna jai bajrang bali jai bholenath ! ! ! hum log boln lage rukeng nahi	0
337	rao hindi tumhari bass ki nahi nahi seekh paog dart ho kahin hindi mark hi nahi	0
344	hamyat tu khota khor corrupt ganj ki bhi kert thi kia ukhar lia unhon ne lanat tere te patwari nan	0
347	io sale today nxttakeoverxxv entranc mask qualiti nice 👍🏻 even back side come soon nan	2
348	ch1 pakeeza languag ka istema tu koi nooni bhayoon se poochhay youthi pe aewen e critic kart hain yeh bhi sahb nan	1
352	gulwish nahi wo news ko defend kern ki koshesh ker rhe hain	1
353	murali noon care boycott world cup till nesamani recov attack krishnamurthi arrest nan	1
359	ahmad884 1971 😂🤣🤣 lulli hoti nahi khadi baten karalo badi badi	1
362	dho diya ashk-e-nadamat ne gunahon ko meray tar hua daman baar paak daman ho gaya momin khan momin nan	1
373	beta nafrat tum jais jahil ( illiter ) failat hain pata nhi kon si phd chal rhi h	0
404	one favorit anoth one begin movi chhoti-chhoti chitrayi yaadein	2
